name,FC,SE,EI,contrast
FB_home.PNG,289.646462306564,3.38205788316206,0.0530796104753521,0.747288044502453
FB_login.PNG,2.44179913402323,1.6198693292986,0.0138506822183099,0.528808338407536
TED_home.PNG,404.067265926613,3.42726379873424,0.0626347931338028,0.607809455758009
album_home.PNG,3.60682076581336,2.75701466276317,0.0477387764084507,0.659847439462606
album_list.PNG,4.90920738841629,3.10882293012106,0.0535142495598592,0.611492277595841
album_list2.PNG,4.67035051309364,2.74431423336895,0.0542844960387324,0.561053724018196
album_more.PNG,5.38275751708604,3.21719379340543,0.0463922205105634,0.549830585430914
alipay_home.PNG,237.764307511428,2.71614231176923,0.0439975792253521,0.631136325222848
alipay_list.PNG,4.2955773090233,2.40258779527515,0.0313710387323944,0.559769848762848
alipay_more.PNG,3.05994536383832,2.11862864688947,0.0217690911091549,0.584869880976397
calBlue_home.PNG,3.24775945154934,2.25023161952246,0.0214898767605634,0.615881433658699
cal_set.PNG,3.73704671759429,2.37282057558579,0.0262241417253521,0.53856297452096
citymaper_set.PNG,4.97498684462356,3.19988644598142,0.0436757262323944,0.578748748151243
citymapper_home.PNG,4.25646081994098,3.05919471322186,0.0330133142605634,0.555108812487343
control_set.PNG,2.76629859344969,1.69317185877689,0.0325717979753521,0.609850482072913
cook_home.PNG,5.44942195965703,3.35841217769971,0.0525390625,0.678646708416068
cook_main.PNG,5.35291779659087,3.52925352961005,0.0517371808978873,0.704423779795296
cook_set.PNG,109.733262326749,2.0987585027644,0.015563105193662,0.664192202560783
currency_main.PNG,188.148046271947,2.59251165738046,0.0283945862676056,0.574110738094555
dj_home.PNG,2.91188018895725,3.38934900787568,0.0747097821302817,0.647714134600217
dj_list.PNG,1.83389213117139,1.97388171397827,0.0257606183978873,0.572545028570217
fb_more.PNG,197.802972500737,2.39130548261316,0.0255488006161972,0.584064931766227
food_home.PNG,3.59529167351563,2.81707336322707,0.023668573943662,0.683512818731328
heat_main.PNG,176.663349239373,2.30054821960599,0.032483769806338,0.634784184162848
light_home.PNG,4.86131990375878,3.46983675905029,0.108315911091549,0.599109185348656
light_mian.PNG,3.3940054238889,2.44129422556147,0.0308167363556338,0.614090526186024
memri_home.PNG,182.437769857695,2.2738310678655,0.02119140625,0.630759489854373
memri_set.PNG,216.521420652465,2.71437270804455,0.0369071852992958,0.593676310555743
newNote_home.PNG,4.1033720567051,3.19984664886835,0.041912411971831,0.697949292257982
newnote_main.PNG,73.844703469467,1.45289254836159,0.0129277618838028,0.662228314078716
newnote_set.PNG,2.67432535820015,2.28560406380588,0.0151972381161972,0.711978307003065
news_home.PNG,4.80360863376592,3.20599923029033,0.0394476232394366,0.624484385602247
news_main.PNG,4.79592411831609,3.20890186319473,0.0393527178697183,0.624852773556231
news_more.PNG,407.663687727943,3.31482649943665,0.0770053917253521,0.675056940849982
notMoji_set.PNG,3.18962895120973,1.89885368868324,0.0167638644366197,0.620790396100672
noteMoji_home.PNG,3.21851000687727,2.04897517501516,0.0200429137323944,0.628034500314456
note_home.PNG,266.417187494653,2.81246170265682,0.0518540933098592,0.69004659432285
note_more.PNG,146.812928875051,1.83625753477955,0.0253988776408451,0.578439905477176
run_home.PNG,173.08836661797,2.48013126761951,0.0240894586267606,0.587904424374071
run_mian.PNG,3.21144827850786,2.24158757920513,0.0139662191901408,0.57857109798053
run_set.PNG,3.68326039602919,2.63092292412675,0.0316543794014085,0.658250686572516
running_stats.PNG,257.022735741452,3.46461549441198,0.0551015074823944,0.557270577080639
sky_main.PNG,1.5475021556393,1.16086836498631,0.00766257702464789,0.733135310881869
speed_home.PNG,260.136894880283,2.6269596435021,0.0365619498239437,0.567520264607946
speed_main.PNG,174.666058021772,2.32176469857111,0.0251760563380282,0.658140852493577
speed_more.PNG,3.66746848099871,2.66179101542462,0.0236960827464789,0.583625595973356
tide_set.PNG,2.16995912573976,1.83210282291082,0.0122881822183099,0.603557580457542
timer_animal1.PNG,178.847602197029,2.57780018554694,0.0217168243838028,0.636100443974932
timer_home.PNG,3.17254292255507,2.07850555564155,0.0289763974471831,0.56981930067564
timer_main.PNG,3.24227169309536,1.93275312942242,0.023002860915493,0.543292433311574
timer_set.PNG,3.21316956526257,2.01097481936473,0.0295210717429577,0.562062438712914
timer_three.PNG,3.7259373593466,2.92204908490847,0.0370997469190141,0.705631802512491
uber_home.PNG,126.725338690983,2.08820121342335,0.0208502970950704,0.664187809857101
uber_set.PNG,2.97643928202346,2.15771060975398,0.0181379291373239,0.549118752215526
weather_home.PNG,3.65211443214,2.14870786367877,0.0312362455985916,0.568801707788579
wechat_more.PNG,3.68889120496388,2.31856539736091,0.0202657350352113,0.570401253567631
yelp_cat.PNG,4.44479945419279,2.8552548303974,0.0318661971830986,0.584805190201014
yelp_main.PNG,244.90836033016,2.7334540713602,0.0315704775528169,0.631648690586118
yelper_more.PNG,5.60214237911122,3.43193953242386,0.0557630941901408,0.628031067917355
yelper_rst.PNG,404.270404800143,3.27986018583972,0.0643458406690141,0.611804115953568
